Reported Issue #,Workorder #,Current Status,Open Date-Time,Resolved Date,Days Open,Report Source,Issue Type,Issue Sub-Type,Department Work Group,Incident Address,Latitude,Longitude,Lat-Long,Additional Questions,Last Updated
1097180,173549,canceled,06/25/2022 11:57:00 AM,,159,Android,Street Maintenance,Pothole,PW Permits,6417 NW 72nd St Kansas City 64151,39.22551202,-94.65239715,POINT (-94.65239715 39.22551202),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",06/27/2022 03:00:35 PM
936382,,resolved,02/16/2022 03:04:00 PM,02/18/2022 12:00:00 AM,1.37,Phone Answered,Snow,Snow Concern,PW Snow,,,,,,02/18/2022 07:10:13 PM
1499780,,resolved,05/02/2023 03:18:00 PM,05/03/2023 12:00:00 AM,0,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,"{Type"":""Concern""|""Please provide the address or intersection if applicable to the report."":""400 NE 54th Ter""}""",05/03/2023 02:39:50 PM
1499689,,resolved,05/02/2023 02:45:00 PM,05/03/2023 12:00:00 AM,0,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,"{Type"":""Concern""|""Please provide the address or intersection if applicable to the report."":""3524 NW 71st Ter""}""",05/03/2023 02:40:14 PM
825994,,resolved,10/28/2021 01:24:00 PM,02/07/2022 12:00:00 AM,101.44,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,02/07/2022 02:31:08 PM
1394912,13627976,resolved,02/20/2023 05:02:00 PM,02/21/2023 12:00:00 AM,1,iOS,Water Service,Low or High Pressure,Water Services Department,6283 N Pennsylvania Dr Kansas City 64118,39.20701,-94.585569,POINT (-94.585569 39.20701),"[{""caption"":""Is the Pressure Low or High?"",""type"":4,""sort_order"":1,""enterdValue"":""Low""}]",02/21/2023 07:16:00 PM
1240357,,new,10/17/2022 09:09:00 AM,,7,Phone Answered,Administration or Questions,Housing,311 Research,,,,,"{""Issue or Question"":""Home Repair Programs""}",10/17/2022 02:41:20 PM
817367,,resolved,10/20/2021 11:50:00 AM,02/04/2022 12:00:00 AM,106.51,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,02/04/2022 08:24:39 PM
1393799,,resolved,02/19/2023 12:50:00 PM,02/21/2023 12:00:00 AM,2,iOS,311 Request Update,,311 Research,,,,,"[{""caption"":""What is your request number?"",""type"":3,""sort_order"":1,""enterdValue"":""139540""},{""caption"":""If you do not have your request number, please provide us the location reported."",""type"":3,""sort_order"":2,""enterdValue"":""""},{""caption"":""How would you like us to contact you?"",""type"":4,""sort_order"":3,""enterdValue"":""Email""},{""caption"":""Please provide us the contact information for your preferred method."",""type"":3,""sort_order"":4,""enterdValue"":""Mrebori@yahoo.com""}]",02/21/2023 06:53:44 PM
1476287,13656981,resolved,04/17/2023 11:29:00 PM,05/03/2023 12:00:00 AM,15,iOS,Sewer or Stormwater,Storm Drain Cleaning,WSD Stormwater Investigation,3404 Bell St Kansas City 64111,39.065946,-94.608102,POINT (-94.608102 39.065946),"{Problem"":""Standing water not due to clog""|""Location of the drain"":""Other""|""If item dropped is a phone| please provide alternative contact number"":""""}""",05/03/2023 02:57:00 PM
1072744,170309,resolved,06/07/2022 06:29:00 PM,08/31/2022 12:00:00 AM,85,Android,Street Maintenance,Pothole,PW Permits,11811 State Line Rd Kansas City 64114,38.91364657,-94.60801665,POINT (-94.60801665 38.91364657),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",08/31/2022 09:03:57 PM
1070380,170046,resolved,06/06/2022 12:54:00 PM,10/08/2022 12:00:00 AM,124,iOS,Street Maintenance,Pothole,PW Permits,7517 State Line Rd Kansas City 64114,38.992509,-94.607953,POINT (-94.607953 38.992509),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",10/08/2022 05:27:01 PM
1490735,,resolved,04/26/2023 01:24:00 PM,05/03/2023 12:00:00 AM,6,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,"{Type"":""Concern""|""Please provide the address or intersection if applicable to the report."":""4504 Blue Ridge Blvd""}""",05/03/2023 03:41:11 PM
1496605,,resolved,05/01/2023 09:32:00 AM,05/03/2023 12:00:00 AM,1,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,"{Type"":""Question""|""Please provide the address or intersection if applicable to the report."":""103 E 114 Terr. KCMO 64114""}""",05/03/2023 03:41:53 PM
1091778,,new,06/21/2022 03:45:00 PM,,355,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,06/21/2022 08:46:00 PM
1499390,,resolved,05/02/2023 12:37:00 PM,05/03/2023 12:00:00 AM,0,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,"{Type"":""Suggestion""|""Please provide the address or intersection if applicable to the report."":""""}""",05/03/2023 03:52:26 PM
687129,,resolved,07/05/2021 06:57:00 AM,07/08/2021 12:00:00 AM,2,Phone Answered,311 Research and Investigation,Management Review,311 Research,,,,,,07/08/2021 02:32:05 PM
982241,,new,03/29/2022 03:00:00 AM,,1,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,03/29/2022 08:11:42 PM
1611061,,new,07/14/2023 06:34:00 PM,,0,WEB RAI,311 Request Update,,311 Research,,,,,"{""What is your request number?"":""|""If you do not have your request number| please provide us the location reported."":""222 w 75th st KC Mo""|""How would you like us to contact you?"":""Email""|""Please provide us the contact information for your preferred method."":""smnindian@gmail.com""}",07/14/2023 11:34:17 PM
1237477,,resolved,10/13/2022 03:55:00 PM,10/26/2022 12:00:00 AM,12,Phone Answered,Water Service,Account or Billing Questions,Water Services Department,,,,,,10/26/2022 05:18:58 PM
1043591,166871,resolved,05/16/2022 07:24:00 PM,08/05/2022 12:00:00 AM,81,Android,Street Maintenance,Pothole,PW Permits,3470 N Antioch Rd Kansas City 64117,39.15550748,-94.5474698,POINT (-94.5474698 39.15550748),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",08/06/2022 12:00:09 AM
1500027,,new,05/02/2023 05:00:00 PM,,5,Phone Answered,Administration or Questions,Public Works,311 Research,,,,,"{Type"":""Question""|""Please provide the address or intersection if applicable to the report."":""8018 WAYNE""}""",05/03/2023 05:20:25 PM
1381984,,resolved,02/09/2023 10:46:00 AM,02/13/2023 12:00:00 AM,4,Phone Answered,Administration or Questions,Submit a Claim to Law,311 Research,,,,,"{""What is the claim for?"":""Property damage"",""Where did the injury or damage occur (location and address or intersection)?"":""6049 N Brighten Kansas City MO 64119"",""Is this for an individual or a business?"":""Individual"",""Contact name"":""Carlos Martinez"",""Contact mailing address and phone number"":""3614 NW 87th Kansas City MO 64154 913-486-9743"",""When did the injury or damage occur?"":""06-09-2022"",""If claim is for vehicle damage, please list make, model, and year"":"""",""Have you had any communication with anyone from the City about the damage?"":""No"",""If yes, what is the name of the department, division, or staff person?"":"""",""Did you file a police report?"":""No"",""If yes, what is the report number?"":""""}",02/13/2023 05:00:48 PM
1029133,164944,resolved,05/05/2022 10:04:00 AM,05/18/2022 12:00:00 AM,13,Android,Street Maintenance,Pothole,PW Permits,11609 E 59th St Kansas City 64133,39.01478183,-94.44418229,POINT (-94.44418229 39.01478183),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""Entire Block""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",05/23/2022 01:28:30 AM
1499177,,resolved,05/02/2023 11:26:00 AM,05/03/2023 12:00:00 AM,0,Phone Answered,Administration or Questions,KC Water,311 Research,,,,,"{Type"":""Concern""|""Please provide address and location information if needed for this report"":""728 E 72nd Terr KCMO 64131""}""",05/03/2023 05:38:11 PM
1498864,,resolved,05/02/2023 09:43:00 AM,05/03/2023 12:00:00 AM,0,Phone Answered,Administration or Questions,KC Water,311 Research,,,,,"{Type"":""Question""|""Please provide address and location information if needed for this report"":""4801 Arlington Ave""}""",05/03/2023 05:43:14 PM
1488872,,resolved,04/25/2023 01:40:00 PM,05/03/2023 12:00:00 AM,7,Email,Water Service,Account or Billing Questions,Water Services Department,,,,,,05/03/2023 06:03:35 PM
1498689,,resolved,05/02/2023 08:30:00 AM,05/03/2023 12:00:00 AM,0,Phone Answered,Administration or Questions,KC Water,311 Research,,,,,"{Type"":""Concern""|""Please provide address and location information if needed for this report"":""5214 E 40th St""}""",05/03/2023 06:07:13 PM
538048,13232787,resolved,03/04/2021 08:05:00 AM,03/04/2021 12:00:00 AM,-1,WEB RAI,Water Service,Low or High Pressure,Water Services Department,,,,,"{""Is the Pressure Low or High?"":""Low""}",09/20/2021 04:44:24 PM
1003735,162177,resolved,04/14/2022 02:30:00 PM,04/19/2022 12:00:00 AM,5,WEB RAI,Street Maintenance,Pothole,PW Permits,428 NW Englewood Rd Kansas City 64118,39.19609344,-94.58565474,POINT (-94.58565474 39.19609344),"{""Number of Potholes"":""Entire Block"",""Location"":""Street""}",05/02/2022 04:49:48 PM
929965,,resolved,02/10/2022 06:04:00 PM,02/11/2022 12:00:00 AM,0.25,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,02/11/2022 11:41:36 AM
995973,160965,resolved,04/08/2022 04:33:00 PM,04/14/2022 12:00:00 AM,6,iOS,Street Maintenance,Pothole,PW Permits,7533 State Line Rd Kansas City 64114,38.991659,-94.607964,POINT (-94.607964 38.991659),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""Entire Block""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",04/25/2022 03:18:05 PM
991151,160359,resolved,04/05/2022 03:30:00 PM,06/16/2022 12:00:00 AM,72,iOS,Street Maintenance,Pothole,PW Permits,7105 NW Berkley Dr Kansas City 64152,39.221287,-94.662661,POINT (-94.662661 39.221287),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""Entire Block""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",06/16/2022 07:16:22 PM
1229621,,resolved,10/07/2022 09:38:00 AM,10/13/2022 12:00:00 AM,5,Phone Answered,Water Service,Account or Billing Questions,Water Services Department,,,,,,10/13/2022 05:02:02 PM
988225,159998,resolved,04/03/2022 09:23:00 PM,07/25/2022 12:00:00 AM,113,iOS,Street Maintenance,Pothole,PW Permits,10300 Meers Rd Kansas City 64134,38.936244,-94.448005,POINT (-94.448005 38.936244),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",07/25/2022 04:44:33 PM
981913,158961,resolved,03/29/2022 12:55:00 PM,04/21/2022 12:00:00 AM,23,iOS,Street Maintenance,Pothole,PW Permits,4181 Sterling Ave Kansas City 64133,39.047586,-94.443468,POINT (-94.443468 39.047586),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",04/22/2022 01:56:02 PM
981269,158875,resolved,03/29/2022 07:24:00 AM,03/30/2022 12:00:00 AM,1,Android,Street Maintenance,Resurface Streets,PW Permits,3 Dunford Cir Kansas City 64112,39.03054317,-94.60753419,POINT (-94.60753419 39.03054317),,03/30/2022 02:24:48 PM
927577,,resolved,02/09/2022 08:44:00 AM,02/09/2022 12:00:00 AM,-0.36,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,02/09/2022 04:52:18 PM
572324,,resolved,04/04/2021 06:12:00 PM,04/15/2021 12:00:00 AM,10,WEB RAI,Public Safety,Homeless Camp,Fire Inspector,,,,,,05/17/2021 01:55:31 PM
977277,158235,resolved,03/24/2022 11:51:00 PM,03/25/2022 12:00:00 AM,1,iOS,Street Maintenance,Pothole,PW Permits,1617 W 75th St Kansas City 64114,38.992783,-94.607953,POINT (-94.607953 38.992783),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""Entire Block""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",04/15/2022 07:03:01 PM
974388,157871,resolved,03/23/2022 08:57:00 AM,03/24/2022 12:00:00 AM,1,Android,Street Maintenance,Pothole,PW Permits,5301 State Line Rd MOD PRO SP Kansas City 64112,39.03192795,-94.60754056,POINT (-94.60754056 39.03192795),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",03/24/2022 06:24:22 PM
1212598,,resolved,09/23/2022 01:22:00 PM,10/18/2022 12:00:00 AM,24,Phone Answered,Water Service,Account or Billing Questions,Water Services Department,,,,,,10/18/2022 03:40:52 PM
969191,157257,resolved,03/18/2022 04:40:00 PM,03/22/2022 12:00:00 AM,4,iOS,Street Maintenance,Pothole,PW Permits,4181 Sterling Ave Kansas City 64133,39.047359,-94.443309,POINT (-94.443309 39.047359),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",03/23/2022 06:36:54 PM
965214,156908,resolved,03/15/2022 11:58:00 PM,04/21/2022 12:00:00 AM,37,iOS,Street Maintenance,Pothole,PW Permits,4238 Blue Ridge Blvd Kansas City 64133,39.045356,-94.438967,POINT (-94.438967 39.045356),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""Entire Block""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",04/22/2022 01:51:19 PM
921456,,new,02/02/2022 05:05:00 PM,,25.27,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,02/02/2022 11:11:05 PM
1280503,,resolved,11/18/2022 10:29:00 AM,11/18/2022 12:00:00 AM,0,Phone Answered,Administration or Questions,How's My Driving,311 Research,,,,,"{""In order to complete an investigation,  please provide license plate number"":""81073"",""Vehicle Description"":""Blue pickup truck"",""Location"":""E 27th St and Jackson  Ave"",""Date and time of incident"":""11-18-2022 11:02 AM""}",11/18/2022 06:17:36 PM
935217,153547,resolved,02/15/2022 11:41:00 PM,04/14/2022 12:00:00 AM,58,iOS,Street Maintenance,Pothole,PW Permits,1261 W 56th St Kansas City 64113,39.026118,-94.607567,POINT (-94.607567 39.026118),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",04/15/2022 01:36:27 PM
931989,153270,resolved,02/12/2022 05:19:00 PM,03/03/2022 12:00:00 AM,19,WEB RAI,Street Maintenance,Pothole,PW Permits,7939 State Line Rd B Kansas City 64114,38.9845174,-94.60812521,POINT (-94.60812521 38.9845174),"{""Number of Potholes"":""Entire Block"",""Location"":""Street""}",03/04/2022 02:54:02 PM
930858,153172,resolved,02/11/2022 01:23:00 PM,03/22/2022 12:00:00 AM,39,iOS,Street Maintenance,Pothole,PW Permits,4004 Sterling Ave Kansas City 64133,39.048706,-94.447556,POINT (-94.447556 39.048706),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",04/26/2022 05:12:45 PM
1377184,,resolved,02/06/2023 11:16:00 AM,02/14/2023 12:00:00 AM,8,Phone Answered,Vehicles and Parking,Feedback or Question,KCPD Parking Control,,,,,"{""Location or area of concern"":""108 W 14th St""}",02/14/2023 05:54:45 PM
797946,,resolved,10/01/2021 05:20:00 PM,10/05/2021 12:00:00 AM,3.28,Phone Answered,Water Service,Account or Billing Questions,Water Services Department,,,,,,10/05/2021 08:20:31 PM
1375053,,resolved,02/03/2023 04:44:00 PM,03/10/2023 12:00:00 AM,35,Phone Answered,Administration or Questions,KC Pet Project Feedback,311 Research,,,,,"{""Type"":""Concern"",""Please provide location information if needed for this report"":""""}",03/10/2023 05:14:02 PM
1329181,,resolved,12/30/2022 12:00:00 PM,01/04/2023 12:00:00 AM,5,Phone Answered,Vehicles and Parking,Feedback or Question,KCPD Parking Control,,,,,"{""Location or area of concern"":""1340 Grand Blvd""}",01/04/2023 03:26:32 PM
1304326,,resolved,12/08/2022 01:20:00 PM,03/03/2023 12:00:00 AM,85,WEB RAI,Vehicles and Parking,Feedback or Question,KCPD Parking Control,,,,,"{""Location or area of concern"":""24 NW 110th ter""}",03/03/2023 11:45:25 PM
873142,,resolved,12/15/2021 05:50:00 PM,12/27/2021 12:00:00 AM,12,WEB RAI,311 Research and Investigation,Management Review,311 Research,,,,,,12/27/2021 10:22:22 PM
919015,,new,01/31/2022 04:49:00 PM,,27.28,Phone Answered,Administration or Questions,Mayors Office,311 Research,,,,,,01/31/2022 11:01:28 PM
1327909,,resolved,12/29/2022 02:19:00 PM,01/04/2023 12:00:00 AM,6,WEB RAI,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Question"",""Please provide address and location information if needed for this report"":""909 W 90th Ter""}",01/04/2023 09:00:53 PM
553411,,resolved,03/17/2021 12:42:00 PM,03/17/2021 12:00:00 AM,0,Phone Answered,311 Research and Investigation,Management Review,311 Research,,,,,,03/17/2021 08:17:35 PM
1360775,,resolved,01/24/2023 11:36:00 AM,02/21/2023 12:00:00 AM,28,WEB RAI,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Concern"",""Please provide address and location information if needed for this report"":""1231 Garfield""}",02/21/2023 08:55:42 PM
1294012,,resolved,11/30/2022 06:45:00 PM,12/02/2022 12:00:00 AM,2,WEB RAI,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Question"",""Please provide address and location information if needed for this report"":""3604 NE 77th Ter""}",12/02/2022 08:44:54 PM
1493358,,resolved,04/27/2023 07:01:00 PM,05/04/2023 12:00:00 AM,6,Phone Answered,Vehicles and Parking,Towed Vehicle Concern,KCPD Parking Control,,,,,,05/04/2023 02:30:54 PM
1301201,,resolved,12/06/2022 11:29:00 AM,12/06/2022 12:00:00 AM,0,Email,Water Service,Account or Billing Questions,Water Services Department,,,,,,12/06/2022 07:38:57 PM
1293069,,new,11/30/2022 11:18:00 AM,,2,Phone Answered,Administration or Questions,Minor Home Repair Program Questions/Inquiries,311 Research,,,,,,11/30/2022 05:29:03 PM
1292589,,new,11/30/2022 07:02:00 AM,,2,Phone Answered,Administration or Questions,Minor Home Repair Program Questions/Inquiries,311 Research,,,,,,11/30/2022 02:03:56 PM
865622,,resolved,12/08/2021 10:09:00 AM,12/09/2021 12:00:00 AM,1,WEB RAI,Administration or Questions,Public Works,311 Research,,,,,,12/09/2021 06:33:26 PM
1122760,176313,received,07/15/2022 08:01:00 AM,,101,iOS,Illegal Dumping,Dumping in the Alley,PW Solid Waste,621 Blue Ridge Blvd Kansas City 64125,39.098634,-94.478189,POINT (-94.478189 39.098634),"[{""caption"":""Please select items that were dumped"",""type"":4,""sort_order"":1,""enterdValue"":""Trash bags,Furniture""},{""caption"":""Did you see the dumping occur?"",""type"":1,""sort_order"":2,""enterdValue"":""0""}]",10/24/2022 02:57:40 PM
902490,,resolved,01/14/2022 03:56:00 PM,02/16/2022 12:00:00 AM,32.34,Phone Answered,Snow,Snow Concern,PW Snow,,,,,"{""Type of Concern"":""Other Concern"",""Is there a specific location?"":""6407 NW Revere Dr""}",02/16/2022 06:50:14 PM
1001638,,resolved,04/13/2022 11:54:00 AM,04/14/2022 12:00:00 AM,1,Phone Answered,311 Research and Investigation,Management Review,311 Research,,,,,,04/14/2022 02:04:28 PM
